Title,Rating,Genres,Url
Suspiria (I) (2018) ,6.8,"Fantasy, Horror, Mystery            ",www.imdb.com/title/tt1034415/
Jennifer's Body (2009) ,5.2,"Comedy, Horror            ",www.imdb.com/title/tt1131734/
Fright Night (1985) ,7.1,"Fantasy, Horror, Thriller            ",www.imdb.com/title/tt0089175/
Halloween Kills (2021) ,None,"Horror, Thriller            ",www.imdb.com/title/tt10665338/
The Texas Chain Saw Massacre (1974) ,7.5,Horror            ,www.imdb.com/title/tt0072271/
The Evil Dead (1981) ,7.5,Horror            ,www.imdb.com/title/tt0083907/
Carrie (1976) ,7.4,Horror            ,www.imdb.com/title/tt0074285/
House at the End of the Street (2012) ,5.6,"Drama, Horror, Thriller            ",www.imdb.com/title/tt1582507/
The Fly (1986) ,7.6,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt0091064/
Nishabdham (2020) ,3.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt9605894/
Insidious (I) (2010) ,6.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1591095/
I See You (II) (2019) ,6.8,"Crime, Drama, Horror            ",www.imdb.com/title/tt6079516/
Venom: Let There Be Carnage (2021) ,None,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt7097896/
Interview with the Vampire: The Vampire Chronicles (1994) ,7.5,"Drama, Horror            ",www.imdb.com/title/tt0110148/
El hoyo (2019) ,7.0,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt8228288/
Carrie (2013) ,5.9,"Drama, Horror            ",www.imdb.com/title/tt1939659/
The Meg (2018) ,5.6,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt4779682/
Bad Hair (2020) ,4.5,"Comedy, Horror            ",www.imdb.com/title/tt4798836/
Gerald's Game (2017) ,6.6,"Drama, Horror, Thriller            ",www.imdb.com/title/tt3748172/
Scary Stories to Tell in the Dark (2019) ,6.2,"Adventure, Horror, Mystery            ",www.imdb.com/title/tt3387520/
A Quiet Place Part II (2020) ,None,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt8332922/
Alien: Covenant (2017) ,6.4,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt2316204/
Zombieland: Double Tap (2019) ,6.7,"Action, Adventure, Comedy            ",www.imdb.com/title/tt1560220/
Train to Busan (2016) ,7.6,"Action, Horror, Thriller            ",www.imdb.com/title/tt5700672/
Underwater (2020) ,5.8,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt5774060/
The Hills Have Eyes (2006) ,6.4,"Horror, Thriller            ",www.imdb.com/title/tt0454841/
What We Do in the Shadows (2014) ,7.7,"Comedy, Horror            ",www.imdb.com/title/tt3416742/
Scare Me (I) (2020) ,5.7,"Comedy, Horror            ",www.imdb.com/title/tt10126434/
The Owners (2020) ,4.7,"Action, Horror, Thriller            ",www.imdb.com/title/tt9806370/
I Know What You Did Last Summer (1997) ,5.7,"Horror, Mystery            ",www.imdb.com/title/tt0119345/
Spiral (I) (2019) ,5.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt9247314/
Buffy the Vampire Slayer (1992) ,5.7,"Action, Comedy, Fantasy            ",www.imdb.com/title/tt0103893/
Freaky (2020) ,7.9,"Comedy, Horror, Thriller            ",www.imdb.com/title/tt10919380/
Hellraiser (1987) ,7.0,"Horror, Thriller            ",www.imdb.com/title/tt0093177/
Sinister (I) (2012) ,6.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1922777/
Silent Hill (2006) ,6.5,Horror            ,www.imdb.com/title/tt0384537/
Salò o le 120 giornate di Sodoma (1975) ,5.9,"Drama, Horror, War            ",www.imdb.com/title/tt0073650/
World War Z (2013) ,7.0,"Action, Adventure, Horror            ",www.imdb.com/title/tt0816711/
Gretel & Hansel (2020) ,5.3,"Fantasy, Horror, Mystery            ",www.imdb.com/title/tt9086228/
Resident Evil ,None,"Action, Horror, Mystery            ",www.imdb.com/title/tt6920084/
Host (II) (2020) ,6.6,"Horror, Mystery            ",www.imdb.com/title/tt12749596/
Vivarium (2019) ,5.8,"Comedy, Horror, Mystery            ",www.imdb.com/title/tt8368406/
The Nun (2018) ,5.3,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt5814060/
The Rental (2020) ,5.7,"Horror, Thriller            ",www.imdb.com/title/tt10003008/
Color Out of Space (2019) ,6.2,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt5073642/
On Halloween (2020) ,3.8,Horror            ,www.imdb.com/title/tt6580050/
Blade (1998) ,7.1,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt0120611/
Christine (1983) ,6.7,"Horror, Thriller            ",www.imdb.com/title/tt0085333/
Sweeney Todd: The Demon Barber of Fleet Street (2007) ,7.3,"Drama, Horror, Musical            ",www.imdb.com/title/tt0408236/
Evil Dead (2013) ,6.5,"Fantasy, Horror, Thriller            ",www.imdb.com/title/tt1288558/
Friday the 13th Part 2 (1981) ,6.1,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0082418/
Saw (2004) ,7.6,"Horror, Mystery            ",www.imdb.com/title/tt0387564/
Event Horizon (1997) ,6.7,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt0119081/
Resident Evil (2002) ,6.7,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt0120804/
Hosts (2020) ,5.9,Horror            ,www.imdb.com/title/tt9543062/
The Thing (I) (2011) ,6.2,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt0905372/
Don't Breathe (2016) ,7.1,"Crime, Horror, Thriller            ",www.imdb.com/title/tt4160708/
The Mortal Instruments: City of Bones (2013) ,5.9,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt1538403/
From Dusk Till Dawn (1996) ,7.2,"Action, Crime, Horror            ",www.imdb.com/title/tt0116367/
The Last House on the Left (1972) ,6.0,"Crime, Horror, Thriller            ",www.imdb.com/title/tt0068833/
The Conjuring 2 (2016) ,7.3,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt3065204/
Slaughterhouse Rulez (2018) ,5.3,"Action, Comedy, Fantasy            ",www.imdb.com/title/tt6905696/
Frankenstein (1994) ,6.4,"Drama, Horror, Romance            ",www.imdb.com/title/tt0109836/
28 Days Later... (2002) ,7.6,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt0289043/
Hansel & Gretel: Witch Hunters (2013) ,6.1,"Action, Fantasy, Horror            ",www.imdb.com/title/tt1428538/
10 Cloverfield Lane (2016) ,7.2,"Action, Drama, Horror            ",www.imdb.com/title/tt1179933/
The Haunting (1999) ,5.0,"Fantasy, Horror, Mystery            ",www.imdb.com/title/tt0171363/
Do Not Reply (2019) ,4.2,"Horror, Thriller            ",www.imdb.com/title/tt8168992/
Dark Shadows (2012) ,6.2,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt1077368/
His House (2020) ,6.0,"Drama, Horror, Thriller            ",www.imdb.com/title/tt8508734/
The Wretched (2019) ,5.8,Horror            ,www.imdb.com/title/tt8305806/
Goosebumps (2015) ,6.3,"Adventure, Comedy, Family            ",www.imdb.com/title/tt1051904/
Hush (I) (2016) ,6.6,"Horror, Thriller            ",www.imdb.com/title/tt5022702/
Sputnik (2020) ,6.3,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt11905962/
Scream 4 (2011) ,6.1,"Horror, Mystery            ",www.imdb.com/title/tt1262416/
Bird Box (2018) ,6.6,"Horror, Sci-Fi            ",www.imdb.com/title/tt2737304/
An American Werewolf in London (1981) ,7.5,"Comedy, Horror            ",www.imdb.com/title/tt0082010/
Annihilation (2018) ,6.8,"Adventure, Drama, Horror            ",www.imdb.com/title/tt2798920/
House of Wax (2005) ,5.3,"Horror, Thriller            ",www.imdb.com/title/tt0397065/
The Killing of a Sacred Deer (2017) ,7.0,"Drama, Horror, Mystery            ",www.imdb.com/title/tt5715874/
Split (IX) (2016) ,7.3,"Horror, Thriller            ",www.imdb.com/title/tt4972582/
Alone (XXI) (2020) ,5.0,"Horror, Thriller            ",www.imdb.com/title/tt10192566/
I Spit on Your Grave (2010) ,6.3,"Horror, Thriller            ",www.imdb.com/title/tt1242432/
30 Days of Night (2007) ,6.6,"Action, Horror, Thriller            ",www.imdb.com/title/tt0389722/
Rosemary's Baby (1968) ,8.0,"Drama, Horror            ",www.imdb.com/title/tt0063522/
Shaun of the Dead (2004) ,7.9,"Comedy, Horror            ",www.imdb.com/title/tt0365748/
Srpski film (2010) ,5.1,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1273235/
Halloween H20: 20 Years Later (1998) ,5.8,"Horror, Thriller            ",www.imdb.com/title/tt0120694/
Night of the Living Dead (1968) ,7.9,"Horror, Thriller            ",www.imdb.com/title/tt0063350/
Hostel (2005) ,5.9,Horror            ,www.imdb.com/title/tt0450278/
The Amityville Horror (2005) ,6.0,Horror            ,www.imdb.com/title/tt0384806/
Halloween II (1981) ,6.5,Horror            ,www.imdb.com/title/tt0082495/
Cutting Class (1989) ,4.4,"Comedy, Crime, Horror            ",www.imdb.com/title/tt0097136/
Halloween: The Curse of Michael Myers (1995) ,4.9,"Horror, Thriller            ",www.imdb.com/title/tt0113253/
The Conjuring: The Devil Made Me Do It (2021) ,None,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt7069210/
The Turning (2020) ,3.8,"Drama, Horror, Mystery            ",www.imdb.com/title/tt7510346/
A Cure for Wellness (2016) ,6.4,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt4731136/
Gremlins (1984) ,7.3,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt0087363/
Mandy (I) (2018) ,6.5,"Action, Fantasy, Horror            ",www.imdb.com/title/tt6998518/
Candyman (1992) ,6.6,"Horror, Thriller            ",www.imdb.com/title/tt0103919/
Under the Skin (I) (2013) ,6.3,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt1441395/
Relic (2020) ,5.9,"Drama, Horror, Mystery            ",www.imdb.com/title/tt9072352/
The Autopsy of Jane Doe (2016) ,6.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt3289956/
Halloween: Resurrection (2002) ,4.0,"Horror, Thriller            ",www.imdb.com/title/tt0220506/
The Devil's Rejects (2005) ,6.8,Horror            ,www.imdb.com/title/tt0395584/
Morbius (2021) ,None,"Action, Adventure, Drama            ",www.imdb.com/title/tt5108870/
Escape Room (I) (2019) ,6.3,"Action, Adventure, Horror            ",www.imdb.com/title/tt5886046/
The Ring (2002) ,7.1,"Horror, Mystery            ",www.imdb.com/title/tt0298130/
Constantine (2005) ,7.0,"Action, Fantasy, Horror            ",www.imdb.com/title/tt0360486/
Friday the 13th Part III (1982) ,5.7,"Horror, Thriller            ",www.imdb.com/title/tt0083972/
Crimson Peak (2015) ,6.5,"Horror, Thriller            ",www.imdb.com/title/tt2554274/
Frankenweenie (2012) ,6.9,"Animation, Comedy, Family            ",www.imdb.com/title/tt1142977/
Overlord (2018) ,6.6,"Action, Adventure, Horror            ",www.imdb.com/title/tt4530422/
Orphan (2009) ,6.9,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1148204/
The Birds (1963) ,7.7,"Drama, Horror, Mystery            ",www.imdb.com/title/tt0056869/
The Texas Chainsaw Massacre (2003) ,6.2,Horror            ,www.imdb.com/title/tt0324216/
The Neon Demon (2016) ,6.2,"Horror, Thriller            ",www.imdb.com/title/tt1974419/
Dracula Untold (2014) ,6.3,"Action, Drama, Fantasy            ",www.imdb.com/title/tt0829150/
Dawn of the Dead (2004) ,7.3,"Action, Horror            ",www.imdb.com/title/tt0363547/
Children of the Corn (1984) ,5.7,"Horror, Thriller            ",www.imdb.com/title/tt0087050/
Doctor Strange in the Multiverse of Madness (2022) ,None,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt9419884/
The Wicker Man (1973) ,7.5,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0070917/
The Others (2001) ,7.6,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0230600/
A Nightmare on Elm Street (2010) ,5.2,"Crime, Drama, Horror            ",www.imdb.com/title/tt1179056/
Halloween 4: The Return of Michael Myers (1988) ,5.9,"Horror, Thriller            ",www.imdb.com/title/tt0095271/
The Mist (2007) ,7.1,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt0884328/
Hellboy (2019) ,5.2,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt2274648/
31 (2016) ,5.1,"Horror, Thriller            ",www.imdb.com/title/tt3835080/
1BR (2019) ,5.7,"Drama, Horror, Thriller            ",www.imdb.com/title/tt7541106/
The Dark Tower (2017) ,5.6,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt1648190/
The Ritual (I) (2017) ,6.3,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt5638642/
Annabelle Comes Home (2019) ,5.9,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt8350360/
The Descent (2005) ,7.2,"Adventure, Horror, Thriller            ",www.imdb.com/title/tt0435625/
The Blair Witch Project (1999) ,6.5,"Horror, Mystery            ",www.imdb.com/title/tt0185937/
The Boy (2016) ,6.0,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt3882082/
The Cell (2000) ,6.3,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt0209958/
