Title,Rating,Genres,Tags,Url
The Conjuring (2013) ,7.5,"Horror, Mystery, Thriller            ","['ghost', 'exorcism', 'haunted house', 'possession', 'paranormal investigation']",https://www.imdb.com//title/tt1457767/
It Chapter Two (2019) ,6.5,"Drama, Fantasy, Horror            ","['killer clown', 'evil clown', 'sequel', 'clown', 'evil']",https://www.imdb.com//title/tt7349950/
The Empty Man (2020) ,None,"Crime, Drama, Horror            ","['boom studios', 'based on comic book', 'based on comic', 'cop', 'based on graphic novel']",https://www.imdb.com//title/tt5867314/
Overlord (2018) ,6.6,"Action, Adventure, Horror            ","['world war two', 'supernatural power', 'nazi', 'year 1944', 'nazi occultism']",https://www.imdb.com//title/tt4530422/
Thir13en Ghosts (2001) ,5.6,"Fantasy, Horror            ","['ghost', 'glass house', 'body count', 'collector', 'characters murdered one by one']",https://www.imdb.com//title/tt0245674/
The Exorcist (1973) ,8.0,Horror            ,"['exorcist', 'exorcism', 'demonic possession', 'demonic force', 'priest']",https://www.imdb.com//title/tt0070047/
Us (II) (2019) ,6.9,"Horror, Mystery, Thriller            ","['hall of mirrors', 'scissors', 'year 1986', 'evil twin', 'doppelganger']",https://www.imdb.com//title/tt6857112/
Poltergeist (1982) ,7.3,"Horror, Thriller            ","['cult classic', 'house', 'ghost', 'paranormal investigator', 'voyeur']",https://www.imdb.com//title/tt0084516/
Alien (1979) ,8.4,"Horror, Sci-Fi            ","['alien', 'spaceship', 'outer space', 'creature', 'female protagonist']",https://www.imdb.com//title/tt0078748/
The Turning (2020) ,3.8,"Drama, Horror, Mystery            ","['nanny', 'haunted house', 'haunted mansion', 'ghost', 'malevolent spirit']",https://www.imdb.com//title/tt7510346/
The Thing (1982) ,8.1,"Horror, Mystery, Sci-Fi            ","['antarctica', 'isolation', 'body horror', 'paranoia', 'alien creature']",https://www.imdb.com//title/tt0084787/
Alone (XXI) (2020) ,4.9,"Horror, Thriller            ",['apartment'],https://www.imdb.com//title/tt10192566/
The Hunt (II) (2020) ,6.5,"Action, Horror, Thriller            ","['gun', 'hunting humans', 'reference to animal farm the novel', 'satire', 'female ceo']",https://www.imdb.com//title/tt8244784/
Possessor (2020) ,6.5,"Horror, Sci-Fi, Thriller            ","['male nudity', 'dystopia', 'written by director', 'one word title', 'stabbed with a needle']",https://www.imdb.com//title/tt5918982/
Dracula (1992) ,7.4,Horror            ,"['dracula', 'vampire', 'monster sex', 'female vampire', 'sex scene']",https://www.imdb.com//title/tt0103874/
Scream 4 (2011) ,6.1,"Horror, Mystery            ","['woman in jeopardy', 'mysterious killer', 'red dress', 'bound and gagged', 'exposed intestines']",https://www.imdb.com//title/tt1262416/
Venom: Let There Be Carnage (2021) ,None,"Action, Horror, Sci-Fi            ","['marvel comics', 'based on comic', 'superhero', 'second part', 'sequel']",https://www.imdb.com//title/tt7097896/
House of Wax (2005) ,5.3,"Horror, Thriller            ","['wax', 'group of friends', 'brother sister relationship', 'beaten to death', 'bra']",https://www.imdb.com//title/tt0397065/
The Haunted Mansion (2003) ,5.0,"Comedy, Family, Fantasy            ","['haunted house', 'ghost', 'thunderstorm', 'crystal ball', 'arachnophobia']",https://www.imdb.com//title/tt0338094/
The VVitch: A New-England Folktale (2015) ,6.9,"Drama, Horror, Mystery            ","['witch', 'goat', 'black magic', 'death', 'rabbit']",https://www.imdb.com//title/tt4263482/
The Craft: Legacy (2020) ,None,"Drama, Fantasy, Horror            ","['horror directed by woman', 'directed by women', 'sequel', 'witch', 'witchcraft']",https://www.imdb.com//title/tt4685762/
Psycho (1960) ,8.5,"Horror, Mystery, Thriller            ","['motel', 'shower', 'money', 'dragging a dead body', 'carrying a dead body']",https://www.imdb.com//title/tt0054215/
You Should Have Left (2020) ,5.3,"Drama, Horror, Mystery            ","['nightmare', 'loop', 'spatial loop', 'black house', 'murder']",https://www.imdb.com//title/tt8201852/
The Evil Dead (1981) ,7.5,Horror            ,"['cult film', 'evil dead', 'necronomicon', 'supernatural rape', 'book of the dead']",https://www.imdb.com//title/tt0083907/
The Last House on the Left (2009) ,6.5,"Horror, Thriller            ","['psychopath', 'microwave oven', 'rape', 'lake', 'kidnapping']",https://www.imdb.com//title/tt0844708/
Friday the 13th (2009) ,5.5,"Horror, Mystery, Thriller            ","['slasher', 'campfire', 'wakeboarding', 'slasher flick', 'gore']",https://www.imdb.com//title/tt0758746/
Scream 2 (1997) ,6.2,"Horror, Mystery            ","['villain', 'satire', 'self referential', 'evil woman', 'tough girl']",https://www.imdb.com//title/tt0120082/
The Haunting (1999) ,5.0,"Fantasy, Horror, Mystery            ","['haunted house', 'mansion', 'insomniac', 'horror movie remake', 'old house']",https://www.imdb.com//title/tt0171363/
Halloween Kills (2021) ,None,"Horror, Thriller            ","['sequel', 'third part', 'retcon', 'slasher', 'halloween']",https://www.imdb.com//title/tt10665338/
Train to Busan 2 (2020) ,5.5,"Action, Horror, Thriller            ","['sequel', 'second part', 'zombie', 'zombie apocalypse', 'post apocalypse']",https://www.imdb.com//title/tt8850222/
Fright Night (1985) ,7.1,"Fantasy, Horror, Thriller            ","['vampire', 'horror host', 'homosexual subtext', 'boyfriend girlfriend relationship', 'cult film']",https://www.imdb.com//title/tt0089175/
The Fly (1986) ,7.6,"Drama, Horror, Sci-Fi            ","['teleportation', 'woman takes off stocking', 'body horror', 'genetic alteration', 'metamorphosis']",https://www.imdb.com//title/tt0091064/
Tarantula (1955) ,6.5,"Horror, Sci-Fi            ","['monster', 'arizona desert', 'desert', 'deformity', 'vivisection']",https://www.imdb.com//title/tt0048696/
